Threads,RunTime,OPSML,RUNS
1,0.8106666,2.467122,5
2,0.9026235999999999,2.216482,5
3,0.979703,2.041442,5
4,1.00916,1.9818540000000002,5
5,1.1167369999999999,1.7909599999999997,5
6,1.1293346,1.77096,5
7,1.1055726,1.80903,5
8,1.1442522,1.747874,5
9,1.196358,1.671776,5
10,1.2039354,1.6612259999999999,5
11,1.2773298,1.565856,5
12,1.3251794000000001,1.509234,5
13,1.2913956,1.548724,5
14,1.3297932000000001,1.5039979999999997,5
15,1.5971008000000002,1.257548,5
16,1.7193064,1.1709479999999999,5
17,2.0269541999999996,0.9868091999999999,5
18,1.6427548,1.22199,5
19,2.1234994,0.9418594,5
20,1.6570746,1.209318,5
21,1.827292,1.0946339999999999,5
22,2.0570064,0.972486,5
23,2.4494002000000004,0.8166471999999999,5
24,2.4172995999999998,0.8276686,5
25,1.9846304,1.0078222000000001,5
26,2.5575593999999997,0.7820464,5
27,2.3793873999999997,0.8406303999999999,5
28,2.2188906,0.9014373999999998,5
