Threads,RunTime,OPSML,RUNS
1,0.8171788,2.447446,5
2,0.9126336,2.191484,5
3,0.9531442,2.098318,5
4,1.0311496,1.939584,5
5,1.0388696,1.925178,5
6,1.0489726000000001,1.9066339999999997,5
7,1.1601882,1.7238860000000003,5
8,1.1550559999999999,1.73153,5
9,1.1651378000000001,1.7165460000000003,5
10,1.2432468,1.608692,5
11,1.1999404,1.66675,5
12,1.2541267999999999,1.594754,5
13,1.3456702,1.486252,5
14,1.3223246,1.5124879999999998,5
15,1.7128622,1.186594,5
16,1.6167544,1.247616,5
17,1.4057210000000002,1.4228739999999998,5
18,1.597934,1.253552,5
19,1.9799751999999997,1.0116842,5
20,1.9419638,1.030813,5
21,1.8381425999999998,1.0882140000000002,5
22,2.0526782,0.9749044000000001,5
23,2.125006,0.9412119999999999,5
24,2.0480359999999997,0.9774293999999999,5
25,2.3238396000000003,0.860708,5
26,2.8247538,0.7080688,5
27,2.5744255999999996,0.7769307999999999,5
28,2.2616425999999996,0.8846006,5
