Thread,total-ops,total_time-MapleTree-LOW_32,mops/s-MapleTree-LOW_32,ns/ops-MapleTree-LOW_32,total_time-MlpIndex-LOW_32,mops/s-MlpIndex-LOW_32,ns/ops-MlpIndex-LOW_32,total_time-MapleTree-UNIFORM,mops/s-MapleTree-UNIFORM,ns/ops-MapleTree-UNIFORM,total_time-MlpIndex-UNIFORM,mops/s-MlpIndex-UNIFORM,ns/ops-MlpIndex-UNIFORM
1,800000.0,304.4,2.1,304.8,272.6,2.342,273.2,306.2,2.086,306.8,301.2,2.124,301.4
2,800000.0,158.0,4.037999999999999,317.2,142.2,4.486000000000001,285.4,158.0,4.0360000000000005,317.2,156.0,4.09,313.0
3,800000.0,108.4,5.8919999999999995,326.0,96.6,6.5920000000000005,291.4,108.0,5.9079999999999995,324.8,106.4,5.9959999999999996,320.4
4,800000.0,83.0,7.676,333.6,74.0,8.602,297.6,83.0,7.678,333.4,81.4,7.825999999999999,327.0
5,800000.0,67.8,9.379999999999999,341.0,60.2,10.540000000000001,303.6,67.6,9.426,339.2,65.4,9.728,328.8
6,800000.0,57.2,11.086,346.4,56.4,11.404,339.6,57.6,11.048,347.6,58.6,10.936,354.2
7,800000.0,51.0,12.42,360.8,51.2,12.652,360.6,50.6,12.532,357.4,51.4,12.494,362.0
8,800000.0,44.8,14.242,359.4,40.4,15.742,325.4,45.6,13.962,367.4,43.4,14.684000000000001,348.8
9,800000.0,40.4,15.675999999999998,367.4,40.2,16.092000000000002,364.0,43.6,14.722,397.0,38.6,16.383999999999997,351.6
10,800000.0,40.2,15.922000000000002,407.4,36.4,17.738,368.0,37.4,16.964,377.4,35.2,18.042,354.8
11,800000.0,34.8,18.235999999999997,386.0,33.6,19.222,375.4,34.6,18.33,384.2,32.6,19.404,363.0
12,800000.0,33.2,19.07,404.2,34.4,19.048000000000002,417.4,32.2,19.598000000000003,391.8,31.4,20.174,381.4
13,800000.0,30.0,20.956,397.0,32.0,20.232,424.2,30.8,20.552,405.0,31.8,20.46,416.2
14,800000.0,33.0,19.428,471.0,31.4,20.608,448.4,29.0,21.833999999999996,410.4,31.4,20.698,446.6
15,800000.0,28.2,22.394,428.8,25.8,24.386000000000003,393.6,27.4,22.916000000000004,418.8,28.2,22.364000000000004,429.4
16,800000.0,27.8,22.7,452.2,27.6,23.589999999999996,448.4,27.4,23.162,442.4,26.6,23.895999999999997,428.6
17,800000.0,25.2,24.845999999999997,438.0,27.2,23.8,468.0,26.0,24.247999999999998,448.8,26.2,24.19,451.2
18,800000.0,24.2,25.82,446.2,23.2,27.046000000000003,426.8,24.4,25.818,446.4,24.2,26.222,439.4
19,800000.0,23.6,26.717999999999996,455.2,24.4,26.542,470.2,24.4,25.804000000000002,472.2,25.6,25.083999999999996,492.8
20,800000.0,22.6,27.830000000000002,460.4,21.0,29.919999999999998,428.6,24.2,26.131999999999998,491.0,22.4,28.177999999999997,454.4
21,800000.0,22.0,28.516000000000002,471.6,20.8,30.119999999999997,448.2,28.0,23.532,598.0,24.0,26.944,510.2
22,800000.0,22.2,28.448,496.6,19.6,31.884000000000004,442.2,22.4,28.15,502.0,20.8,30.381999999999998,463.4
23,800000.0,20.8,30.080000000000002,489.4,18.4,33.936,433.8,21.0,29.880000000000003,492.8,20.0,31.35,469.6
24,800000.0,24.4,27.05,591.2,18.8,33.498,460.0,21.2,29.308000000000003,525.6,20.8,30.344000000000005,508.0
25,800000.0,26.0,25.384,664.0,17.8,34.848,459.0,20.2,31.002,516.6,19.4,32.626,490.8
26,800000.0,19.8,31.944,521.4,18.0,35.126,476.8,20.2,31.130000000000003,537.0,18.8,33.55800000000001,496.6
27,800000.0,24.6,26.756,674.8,21.4,30.088,586.8,25.0,26.641999999999996,676.2,23.8,28.427999999999997,651.4
