Thread,total-ops,total_time-MapleTree-LOW_32,mops/s-MapleTree-LOW_32,ns/ops-MapleTree-LOW_32,total_time-MlpIndex-LOW_32,mops/s-MlpIndex-LOW_32,ns/ops-MlpIndex-LOW_32,total_time-MapleTree-UNIFORM,mops/s-MapleTree-UNIFORM,ns/ops-MapleTree-UNIFORM,total_time-MlpIndex-UNIFORM,mops/s-MlpIndex-UNIFORM,ns/ops-MlpIndex-UNIFORM
1,800000.0,3853.2,0.16799999999999998,3853.6,2407.4,0.264,2407.8,3843.0,0.16799999999999998,3843.6,3099.8,0.20800000000000002,3100.2
2,800000.0,4044.4,0.16,8089.8,2475.4,0.256,4951.6,4029.6,0.16,8060.2,3154.6,0.2,6309.8
3,800000.0,4025.4,0.16,12077.6,2498.4,0.256,7495.6,3996.6,0.16,11991.2,3177.4,0.2,9533.0
4,800000.0,3990.6,0.16,15964.2,2518.8,0.256,10076.6,3977.6,0.16,15911.6,3205.4,0.2,12822.8
5,800000.0,3964.4,0.16,19823.8,2542.0,0.25,12711.2,3955.0,0.16,19776.6,3231.2,0.2,16159.2
6,800000.0,3961.6,0.16,23772.0,2556.2,0.248,15339.0,3944.0,0.16,23666.4,3236.8,0.2,19421.8
7,800000.0,3955.4,0.16,27691.6,2574.2,0.248,18021.0,3935.0,0.16,27547.4,3248.8,0.2,22744.4
8,800000.0,3956.6,0.16,31656.2,2592.0,0.248,20738.6,3940.8,0.16,31531.0,3286.0,0.196,26290.4
9,800000.0,3938.2,0.16,35447.2,2613.2,0.246,23522.8,3979.6,0.16,35819.2,3285.8,0.192,29577.0
10,800000.0,3942.6,0.16,39428.6,2647.0,0.24,26473.8,3922.2,0.16,39226.8,3307.6,0.192,33077.6
11,800000.0,3946.4,0.16,43413.8,2687.0,0.24,29563.0,3930.8,0.16,43242.6,3353.0,0.192,36886.0
12,800000.0,3940.0,0.16,47282.2,2698.4,0.236,32387.2,3925.4,0.16,47109.2,3362.2,0.192,40352.0
13,800000.0,3945.0,0.16,51287.4,2701.2,0.238,35119.4,3923.2,0.16,51005.8,3384.2,0.19,43998.8
14,800000.0,3941.0,0.16,55178.0,2744.8,0.23199999999999998,38433.0,3958.8,0.16,55429.6,3407.0,0.188,47705.2
15,800000.0,4901.8,0.128,73533.2,3193.4,0.2,47908.0,4930.6,0.128,73965.8,3924.2,0.164,58870.8
16,800000.0,4905.4,0.128,78493.4,3196.6,0.2,51151.2,4933.2,0.128,78940.6,3961.2,0.16,63388.0
17,800000.0,4936.4,0.128,83924.8,3200.0,0.2,54405.8,4927.0,0.128,83766.2,3999.6,0.162,68001.4
18,800000.0,4934.6,0.128,88827.6,3259.6,0.196,58681.6,4918.4,0.128,88541.6,3972.8,0.16,71517.2
19,800000.0,4948.4,0.128,94029.0,3289.2,0.196,62500.6,4919.4,0.128,93480.0,4035.6,0.158,76687.8
20,800000.0,4951.4,0.128,99036.6,3297.6,0.194,65960.2,4928.6,0.128,98583.4,4039.0,0.16,80789.2
21,800000.0,4972.0,0.128,104420.4,3284.4,0.194,68980.2,4943.6,0.128,103820.8,4018.8,0.16,84399.4
22,800000.0,4975.4,0.128,109461.2,3343.0,0.192,73553.6,4948.4,0.128,108871.2,4046.0,0.158,89021.6
23,800000.0,4984.4,0.128,114650.4,3336.2,0.192,76740.4,4976.0,0.128,114458.8,4124.4,0.156,94872.6
24,800000.0,4986.0,0.128,119672.4,3368.0,0.19,80841.2,4969.2,0.128,119271.0,4176.4,0.154,100245.6
25,800000.0,4956.2,0.128,123918.0,3427.4,0.188,85695.8,5011.0,0.128,125286.4,4134.0,0.154,103361.0
26,800000.0,4993.6,0.128,129840.0,3430.4,0.188,89202.8,4991.8,0.128,129799.8,4193.2,0.152,109033.2
27,800000.0,4985.8,0.128,134627.8,3453.4,0.184,93249.2,4974.8,0.128,134329.4,4222.2,0.152,114009.0
