Thread,total-ops,total_time-MapleTree-LOW_32,mops/s-MapleTree-LOW_32,ns/ops-MapleTree-LOW_32,total_time-MlpIndex-LOW_32,mops/s-MlpIndex-LOW_32,ns/ops-MlpIndex-LOW_32,total_time-MapleTree-UNIFORM,mops/s-MapleTree-UNIFORM,ns/ops-MapleTree-UNIFORM,total_time-MlpIndex-UNIFORM,mops/s-MlpIndex-UNIFORM,ns/ops-MlpIndex-UNIFORM
1,800000.0,312.8,2.042,313.4,293.8,2.178,294.0,313.4,2.04,314.0,326.2,1.9600000000000002,326.4
2,800000.0,161.4,3.9540000000000006,323.8,152.2,4.196,305.0,162.6,3.928,326.0,168.6,3.786,338.2
3,800000.0,110.2,5.787999999999999,331.8,103.0,6.192,309.8,109.6,5.82,330.0,114.6,5.566000000000001,345.2
4,800000.0,84.4,7.539999999999999,339.8,78.8,8.080000000000002,316.8,83.8,7.612,336.4,87.2,7.314,350.0
5,800000.0,69.0,9.248000000000001,346.0,64.4,9.870000000000001,324.4,68.4,9.272,345.2,71.0,8.982,356.2
6,800000.0,58.4,10.902000000000001,352.2,54.4,11.692,328.4,58.6,10.872,353.2,60.2,10.569999999999999,363.2
7,800000.0,50.6,12.562000000000001,356.6,50.6,12.621999999999998,357.6,51.0,12.447999999999999,359.8,58.4,11.016,411.4
8,800000.0,45.4,13.966,366.6,49.0,13.178,396.6,45.8,13.834,370.0,46.6,13.618,376.0
9,800000.0,44.2,14.468,403.4,41.8,15.466,379.2,41.2,15.384,374.4,44.4,14.418000000000001,402.6
10,800000.0,37.8,16.714,382.8,38.0,16.958,385.0,41.0,15.644,412.4,40.6,15.762,410.0
11,800000.0,34.8,18.176,387.4,32.6,19.458,361.8,38.2,16.732,427.4,35.0,17.992,391.2
12,800000.0,33.2,19.026,403.8,32.8,19.520000000000003,398.4,36.6,17.518,445.6,36.2,17.898,440.2
13,800000.0,30.6,20.686,402.0,32.0,20.342,421.0,33.8,19.022,443.0,38.2,17.144,502.4
14,800000.0,29.2,21.516,416.6,27.0,23.381999999999998,383.4,28.8,21.814,411.0,29.8,21.360000000000003,419.8
15,800000.0,28.6,22.090000000000003,434.8,31.2,21.02,473.8,28.2,22.43,428.2,30.0,21.080000000000002,455.4
16,800000.0,27.4,23.084000000000003,443.6,26.2,24.028,426.2,27.6,23.016,445.0,28.2,22.451999999999998,456.2
17,800000.0,26.0,24.264000000000003,448.4,28.4,22.913999999999998,484.0,26.0,24.416,445.6,31.0,20.82,534.4
18,800000.0,25.2,24.906,462.6,24.0,26.079999999999995,442.2,25.2,24.962,461.8,26.2,24.182,476.4
19,800000.0,30.6,21.694000000000003,588.4,29.4,22.742,561.2,24.0,26.357999999999997,461.4,25.2,25.165999999999997,483.4
20,800000.0,23.0,27.35,468.2,22.0,28.616000000000003,447.4,23.6,26.529999999999994,483.6,23.4,26.778,478.0
21,800000.0,23.2,27.234,496.2,24.4,26.610000000000003,521.6,23.6,26.828000000000003,502.8,23.4,27.046,497.2
22,800000.0,21.4,29.438,478.4,21.2,29.76,473.8,21.8,28.7,491.0,23.0,27.612000000000002,511.8
23,800000.0,21.2,29.544000000000004,498.2,23.0,28.851999999999997,535.2,24.2,27.125999999999998,565.0,21.6,28.994,507.8
24,800000.0,20.6,30.54,503.2,19.6,32.239999999999995,476.4,20.8,30.327999999999996,507.0,20.8,30.465999999999998,504.2
25,800000.0,19.6,31.824,502.8,22.0,29.524,561.0,20.2,31.184000000000005,513.4,23.2,28.203999999999997,586.2
26,800000.0,21.4,29.836000000000002,561.6,19.0,33.132000000000005,503.6,22.8,28.613999999999997,600.2,19.6,31.886000000000003,522.2
27,800000.0,27.4,24.016,747.4,23.6,28.355999999999995,647.6,28.0,23.55,760.2,22.6,29.236,617.4
