Thread,total-ops,total_time-MapleTree-LOW_32,mops/s-MapleTree-LOW_32,ns/ops-MapleTree-LOW_32,total_time-MlpIndex-LOW_32,mops/s-MlpIndex-LOW_32,ns/ops-MlpIndex-LOW_32,total_time-MapleTree-UNIFORM,mops/s-MapleTree-UNIFORM,ns/ops-MapleTree-UNIFORM,total_time-MlpIndex-UNIFORM,mops/s-MlpIndex-UNIFORM,ns/ops-MlpIndex-UNIFORM
1,800000.0,1314.8,0.488,1315.4,833.8,0.766,833.8,1319.2,0.48600000000000004,1319.6,1035.4,0.616,1035.8
2,800000.0,1065.6,0.6,2132.2,664.4,0.962,1329.6,1065.0,0.6,2130.8,839.6,0.76,1679.8
3,800000.0,1018.6,0.6300000000000001,3057.2,652.4,0.982,1958.4,1023.4,0.626,3071.6,832.0,0.768,2497.4
4,800000.0,998.4,0.64,3994.6,656.8,0.9739999999999999,2628.2,1001.8,0.64,4009.0,834.2,0.766,3338.4
5,800000.0,994.4,0.642,4973.6,662.4,0.966,3314.8,990.8,0.646,4956.2,840.2,0.7619999999999999,4202.8
6,800000.0,978.8,0.6519999999999999,5875.2,667.0,0.958,4004.4,985.0,0.6519999999999999,5911.8,847.0,0.756,5086.0
7,800000.0,974.6,0.6559999999999999,6825.2,672.0,0.95,4707.4,977.4,0.6559999999999999,6844.8,852.0,0.752,5967.4
8,800000.0,972.6,0.6579999999999999,7783.6,684.4,0.932,5478.2,976.0,0.6559999999999999,7809.0,856.8,0.746,6856.2
9,800000.0,971.4,0.6579999999999999,8747.4,688.8,0.9279999999999999,6205.0,976.0,0.6559999999999999,8786.2,861.4,0.742,7756.2
10,800000.0,967.8,0.6619999999999999,9681.6,693.0,0.924,6933.4,977.2,0.654,9775.0,865.6,0.74,8661.8
11,800000.0,970.2,0.6579999999999999,10674.4,700.0,0.914,7703.8,972.2,0.6559999999999999,10699.6,872.6,0.734,9601.4
12,800000.0,967.0,0.6639999999999999,11609.0,717.6,0.892,8613.4,973.2,0.6559999999999999,11681.2,885.8,0.722,10635.2
13,800000.0,970.4,0.658,12620.8,715.4,0.8920000000000001,9307.0,975.0,0.6559999999999999,12678.4,892.2,0.716,11603.8
14,800000.0,967.8,0.6599999999999999,13552.8,722.2,0.8880000000000001,10116.8,962.2,0.6639999999999999,13473.8,890.2,0.72,12467.2
15,800000.0,1262.0,0.506,18940.0,889.6,0.72,13346.6,1260.8,0.508,18921.4,1076.8,0.594,16162.6
16,800000.0,1263.8,0.508,20229.4,901.0,0.71,14424.2,1269.0,0.504,20310.2,1084.6,0.5900000000000001,17357.6
17,800000.0,1257.0,0.51,21381.2,906.8,0.708,15425.2,1257.6,0.508,21386.8,1079.2,0.592,18352.4
18,800000.0,1275.4,0.5,22966.0,919.4,0.696,16554.2,1268.4,0.504,22837.8,1103.2,0.578,19864.2
19,800000.0,1270.0,0.502,24138.0,926.2,0.692,17605.2,1268.6,0.504,24108.2,1096.2,0.584,20837.8
20,800000.0,1274.4,0.502,25500.2,942.0,0.678,18849.8,1273.4,0.502,25477.4,1120.8,0.57,22421.8
21,800000.0,1283.6,0.49800000000000005,26961.8,931.8,0.688,19581.6,1292.2,0.496,27143.4,1120.4,0.5719999999999998,23536.6
22,800000.0,1284.0,0.49800000000000005,28259.8,961.0,0.6659999999999999,21154.2,1280.4,0.49800000000000005,28179.8,1129.8,0.5660000000000001,24861.2
23,800000.0,1283.8,0.49799999999999994,29532.6,959.6,0.6679999999999999,22083.2,1284.8,0.5,29556.4,1135.8,0.564,26133.2
24,800000.0,1288.0,0.496,30922.6,967.0,0.6619999999999999,23212.4,1287.4,0.49800000000000005,30902.8,1145.4,0.558,27496.4
25,800000.0,1283.2,0.496,32085.4,968.4,0.6619999999999999,24222.6,1285.6,0.496,32150.6,1147.4,0.5579999999999999,28693.4
26,800000.0,1288.8,0.496,33520.4,980.2,0.654,25498.2,1300.6,0.48999999999999994,33828.8,1153.8,0.5539999999999999,30011.8
27,800000.0,1293.0,0.496,34923.4,989.6,0.65,26731.4,1289.4,0.496,34820.0,1168.8,0.548,31569.4
